"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"5,5,10,18,Ducks,FOUNDATION,PLAYERF"
"2,2,4,18,Ducks,FOUNDATION,PLAYERG"
"4,4,8,18,Ducks,MASTER,PLAYERA"
"5,7,12,18,Ducks,MASTER,PLAYERB"
"1,5,6,18,Ducks,MASTER,PLAYERC"
"4,4,8,18,Ducks,MASTER,PLAYERD"
"5,7,12,18,Ducks,MASTER,PLAYERE"
"1,3,4,18,Ducks,MASTER,PLAYERF"
"0,1,1,18,Eclipse,ACADEMY,PLAYERA"
"1,4,5,18,Eclipse,ACADEMY,PLAYERB"
"1,7,8,18,Eclipse,ACADEMY,PLAYERC"
"3,6,9,18,Eclipse,ACADEMY,PLAYERD"
"6,3,9,18,Eclipse,ACADEMY,PLAYERE"
"3,2,5,18,Eclipse,ACADEMY,PLAYERF"
"1,1,2,18,Eclipse,ACADEMY,PLAYERG"
"5,6,11,18,Eclipse,ACADEMY,PLAYERH"
"2,5,7,18,Eclipse,CHAMPION,PLAYERA"
"4,5,9,18,Eclipse,CHAMPION,PLAYERB"
"2,6,8,18,Eclipse,CHAMPION,PLAYERC"
"3,1,4,18,Eclipse,CHAMPION,PLAYERD"
"4,2,6,18,Eclipse,CHAMPION,PLAYERE"
"1,6,7,18,Eclipse,CHAMPION,PLAYERF"
"4,3,7,18,Eclipse,CHAMPION,PLAYERG"
"1,1,2,18,Eclipse,CHAMPION,PLAYERH"
"3,5,8,18,Eclipse,FOUNDATION,PLAYERA"
"3,4,7,18,Eclipse,FOUNDATION,PLAYERB"
"5,7,12,18,Eclipse,FOUNDATION,PLAYERC"
"4,6,10,18,Eclipse,FOUNDATION,PLAYERD"
"5,7,12,18,Eclipse,FOUNDATION,PLAYERE"
"0,1,1,18,Eclipse,FOUNDATION,PLAYERF"
"5,6,11,18,Eclipse,MASTER,PLAYERA"
"6,6,12,18,Eclipse,MASTER,PLAYERB"
"6,2,8,18,Eclipse,MASTER,PLAYERC"
"1,7,8,18,Eclipse,MASTER,PLAYERE"
"4,6,10,18,Eclipse,MASTER,PLAYERF"
"0,4,4,18,Eclipse,MASTER,PLAYERG"
"1,5,6,18,Elite,ACADEMY,PLAYERA"
"1,4,5,18,Elite,ACADEMY,PLAYERB"
"3,3,6,18,Elite,ACADEMY,PLAYERC"
"4,5,9,18,Elite,ACADEMY,PLAYERD"
"4,6,10,18,Elite,ACADEMY,PLAYERE"
"5,4,9,18,Elite,ACADEMY,PLAYERF"
"3,0,3,18,Elite,ACADEMY,PLAYERG"
"3,2,5,18,Elite,CHAMPION,PLAYERA"
"3,5,8,18,Elite,CHAMPION,PLAYERB"
"5,6,11,18,Elite,CHAMPION,PLAYERC"
"5,7,12,18,Elite,CHAMPION,PLAYERD"
"3,3,6,18,Elite,CHAMPION,PLAYERE"
"1,4,5,18,Elite,CHAMPION,PLAYERF"
"5,7,12,18,Elite,FOUNDATION,PLAYERA"
"6,5,11,18,Elite,FOUNDATION,PLAYERB"
"2,3,5,18,Elite,FOUNDATION,PLAYERC"
"2,7,9,18,Elite,FOUNDATION,PLAYERD"
"2,3,5,18,Elite,FOUNDATION,PLAYERE"
"2,4,6,18,Elite,FOUNDATION,PLAYERF"
"1,1,2,18,Elite,FOUNDATION,PLAYERG"
"3,5,8,18,Elite,MASTER,PLAYERA"
"3,1,4,18,Elite,MASTER,PLAYERB"
"6,6,12,18,Elite,MASTER,PLAYERC"
"3,2,5,18,Elite,MASTER,PLAYERD"
"1,8,9,18,Elite,MASTER,PLAYERE"
"0,2,2,18,Elite,MASTER,PLAYERF"
"0,1,1,18,Elite,MASTER,PLAYERG"
"2,5,7,18,Elite,MASTER,PLAYERH"
"4,6,10,18,Express,ACADEMY,PLAYERA"
"3,4,7,18,Express,ACADEMY,PLAYERB"
"1,3,4,18,Express,ACADEMY,PLAYERC"
"2,2,4,18,Express,ACADEMY,PLAYERD"
"6,6,12,18,Express,ACADEMY,PLAYERE"
"1,6,7,18,Express,ACADEMY,PLAYERF"
"3,4,7,18,Express,ACADEMY,PLAYERG"
"3,0,3,18,Express,CHAMPION,PLAYERA"
"2,8,10,18,Express,CHAMPION,PLAYERB"
"2,7,9,18,Express,CHAMPION,PLAYERC"
"6,2,8,18,Express,CHAMPION,PLAYERD"
