"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"104,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"108,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"2530,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Premier League,Standard,0,0,Not Played / Data Unavailable"
"84,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Master League,Standard,0,0,Not Played / Data Unavailable"
"2532,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Champion League,Standard,0,0,Not Played / Data Unavailable"
"2602,26,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Pirates,Outlaws,Academy League,Standard,0,0,Not Played / Data Unavailable"
"102,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"106,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Master League,Doubles,0,0,Not Played / Data Unavailable"
"105,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"100,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"99,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Premier League,Standard,0,0,Not Played / Data Unavailable"
"107,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Master League,Standard,0,0,Not Played / Data Unavailable"
"2287,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Champion League,Standard,0,0,Not Played / Data Unavailable"
"101,27,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Rhinos,Bears,Academy League,Standard,0,0,Not Played / Data Unavailable"
"114,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Premier League,Doubles,0,0,Not Played / Data Unavailable"
"2611,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Master League,Doubles,0,0,Not Played / Data Unavailable"
"117,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"111,28,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Elite,Dodgers,Academy League,Doubles,0,0,Not Played / Data Unavailable"
