"match_id,round_id,Home,Home Goals,Away,Away Goals"
"53556,152839,Wizards,5,Spectre,4"
"53557,152843,Wizards,0,Spectre,1"
"53563,152852,Wizards,5,Spectre,1"
"53604,153194,Sharks,2,Pirates,4"
"53548,153265,Comets,3,Eclipse,1"
"53548,153267,Comets,3,Eclipse,2"
"53548,153268,Comets,3,Eclipse,5"
"53591,153284,Wolves,4,Shadow,3"
"53591,153286,Wolves,2,Shadow,1"
"53595,153292,Wolves,2,Shadow,3"
"53787,154369,Pandas,1,Bears,0"
"53712,154378,Lightning,2,Wolves,1"
"53696,154403,Hive,7,Jets,1"
"53698,154411,Hive,5,Jets,3"
"53762,154458,Knights,4,Spartans,2"
"53666,154463,Puffins,0,Tyrants,7"
"53666,154464,Puffins,2,Tyrants,5"
"53770,154746,Outlaws,2,Express,3"
"53770,154748,Outlaws,2,Express,1"
"53770,154749,Outlaws,2,Express,4"
"53745,154752,Dodgers,3,Flames,1"
"53688,154755,Spectre,3,Comets,5"
"53746,154768,Dodgers,2,Flames,1"
"53746,154772,Dodgers,2,Flames,0"
"53684,154783,Spectre,6,Comets,3"
"53737,154786,Pirates,2,Ducks,3"
"53737,154789,Pirates,2,Ducks,3"
"53737,154790,Pirates,4,Ducks,2"
"53780,154795,Pandas,3,Bears,2"
"53750,154799,Elite,2,Demolition,4"
"53761,154828,Knights,4,Spartans,5"
"53715,154842,Lightning,3,Wolves,4"
"53681,154846,Eclipse,1,Wizards,0"
"53673,154858,Sabres,0,Foxes,3"
"53703,155265,Hurricanes,4,Aviators,0"
"53703,155266,Hurricanes,1,Aviators,2"
"53777,155273,Bulls,2,Rhinos,3"
"53777,155275,Bulls,2,Rhinos,1"
"53777,155277,Bulls,1,Rhinos,0"
"53713,155292,Lightning,3,Wolves,1"
"53697,155298,Hive,1,Jets,4"
"53711,155308,Lightning,2,Wolves,1"
"53694,155313,Hive,5,Jets,3"
"53755,155327,Elite,3,Demolition,5"
"53695,155330,Hive,2,Jets,1"
"53695,155331,Hive,4,Jets,2"
"53752,155345,Elite,1,Demolition,4"
"53765,155350,Outlaws,0,Express,2"
"53758,155361,Knights,1,Spartans,3"
"53910,159057,Sharks,4,Elite,5"
"53818,159605,Jets,3,Shadow,5"
"53909,159616,Sharks,6,Elite,1"
"53909,159619,Sharks,7,Elite,2"
"53844,159623,Tyrants,2,Spectre,6"
"53803,159640,Hive,0,Blizzard,2"
"53853,159784,Express,2,Rhinos,0"
"53848,159788,Tyrants,4,Spectre,0"
"53848,159790,Tyrants,7,Spectre,4"
"53794,159854,Aviators,3,Wolves,0"
"53793,159888,Aviators,4,Wolves,3"
"53998,160694,Pandas,6,Express,1"
"53938,160720,Shadow,3,Aviators,1"
"53938,160721,Shadow,3,Aviators,1"
"53946,160727,Wolves,3,Hive,4"
"53949,160754,Comets,2,Sabres,1"
"53949,160755,Comets,1,Sabres,3"
"53925,160758,Lightning,1,Jets,3"
"53925,160762,Lightning,3,Jets,1"
