"fixture_id,match_group_id,home,away"
"274,22,Jets,Blizzard"
"275,22,Shadow,Flames"
"276,22,Rhinos,Demolition"
"277,22,Aviators,Spartans"
"278,22,Knights,Blizzard"
"279,22,Shadow,Rhinos"
"280,22,Flames,Elite"
"281,22,Sabres,Hive"
"282,22,Lightning,Express"
"283,22,Bulls,Tyrants"
"284,22,Pirates,Outlaws"
"285,22,Knights,Hurricanes"
"286,22,Pirates,Bears"
"287,22,Knights,Eclipse"
"288,22,Shadow,Demolition"
"289,22,Spectre,Flames"
"290,22,Hawks,Foxes"
"291,22,Puffins,Ducks"
"292,22,Shadow,Spectre"
"293,22,Flames,Comets"
"294,22,Puffins,Sabres"
"295,22,Aviators,Hawks"
"296,23,Bulls,Rhinos"
"297,23,Express,Lightning"
"298,23,Elite,Bears"
"299,23,Aviators,Hawks"
"300,23,Lightning,Hawks"
"301,23,Sharks,Dodgers"
"302,23,Jets,Foxes"
"303,23,Flames,Rhinos"
"304,23,Spartans,Knights"
"305,23,Flames,Shadow"
"306,23,Lightning,Sabres"
"307,23,Outlaws,Bulls"
"308,23,Knights,Jets"
"309,23,Pirates,Bulls"
"310,23,Puffins,Hawks"
"311,23,Comets,Shadow"
"312,23,Wizards,Sharks"
"313,24,Knights,Bulls"
"314,24,Flames,Hawks"
"315,24,Flames,Lightning"
"316,24,Flames,Spartans"
"317,24,Wizards,Hawks"
"318,24,Jets,Dodgers"
"319,24,Hawks,Bears"
"320,24,Hawks,Shadow"
"321,24,Bulls,Express"
"322,25,Knights,Express"
"323,25,Hawks,Aviators"
"324,25,Hive,Ducks"
"325,25,Shadow,Flames"
"326,25,Sharks,Pandas"
"327,25,Tyrants,Dodgers"
"328,25,Spectre,Comets"
"329,25,Wizards,Demolition"
"330,25,Pirates,Bears"
"367,25,Lightning,Eclipse"
"437,25,Hurricanes,Blizzard"
"438,25,Rhinos,Outlaws"
"439,25,Pirates,Rhinos"
"440,25,Tyrants,Bulls"
"441,25,Hurricanes,Express"
"442,25,Knights,Wizards"
"443,25,Elite,Bulls"
"444,25,Wolves,Puffins"
"445,25,Hawks,Hive"
"446,25,Sabres,Foxes"
"503,25,Spartans,Jets"
"331,26,Flames,Sharks"
"332,26,Aviators,Hive"
"333,26,Hawks,Ducks"
"334,26,Shadow,Pandas"
"335,26,Knights,Jets"
"336,26,Elite,Dodgers"
"337,26,Comets,Wizards"
"338,26,Spectre,Demolition"
"339,26,Bears,Rhinos"
"340,26,Foxes,Wolves"
"341,26,Sabres,Puffins"
"342,26,Blizzard,Lightning"
"447,26,Express,Spartans"
"449,26,Hive,Rhinos"
"450,26,Bulls,Wizards"
"451,26,Hurricanes,Eclipse"
"452,26,Bulls,Tyrants"
"453,26,Express,Knights"
"454,26,Pirates,Outlaws"
"504,26,Tyrants,Pirates"
"507,26,Hurricanes,Hawks"
"343,27,Hive,Hawks"
"344,27,Demolition,Comets"
"345,27,Dodgers,Bulls"
"346,27,Sharks,Shadow"
"347,27,Pandas,Flames"
"348,27,Lightning,Hurricanes"
"349,27,Eclipse,Blizzard"
"350,27,Wolves,Sabres"
"351,27,Puffins,Foxes"
"352,27,Ducks,Aviators"
"354,27,Spartans,Knights"
"355,27,Rhinos,Pirates"
"356,27,Outlaws,Bears"
"357,27,Wizards,Spectre"
"448,27,Express,Bulls"
"455,27,Hive,Hurricanes"
"457,27,Jets,Express"
"458,27,Tyrants,Elite"
"459,27,Knights,Hawks"
"460,27,Rhinos,Tyrants"
"461,27,Wizards,Pirates"
"353,28,Express,Aviators"
"358,28,Sabres,Hurricanes"
"359,28,Puffins,Eclipse"
"360,28,Foxes,Blizzard"
"361,28,Spartans,Hive"
"362,28,Jets,Ducks"
"363,28,Wolves,Lightning"
"365,28,Knights,Hawks"
"369,28,Flames,Bulls"
"370,28,Spectre,Pirates"
"456,28,Pirates,Bulls"
"462,28,Pandas,Dodgers"
"463,28,Wizards,Rhinos"
"464,28,Knights,Hive"
"465,28,Shadow,Elite"
"467,28,Sharks,Tyrants"
"468,28,Hawks,Express"
"469,28,Hurricanes,Tyrants"
"505,28,Comets,Bears"
"508,28,Demolition,Outlaws"
"364,29,Ducks,Knights"
"366,29,Aviators,Jets"
"368,29,Eclipse,Sabres"
"371,29,Outlaws,Spectre"
"372,29,Bears,Demolition"
"373,29,Lightning,Foxes"
"374,29,Hurricanes,Wolves"
"375,29,Elite,Sharks"
"376,29,Dodgers,Shadow"
"377,29,Bulls,Pandas"
"378,29,Rhinos,Comets"
"379,29,Blizzard,Puffins"
"466,29,Hurricanes,Knights"
"470,29,Hawks,Pirates"
"471,29,Pirates,Wizards"
"472,29,Bulls,Rhinos"
"473,29,Tyrants,Wizards"
"509,29,Hive,Express"
"510,29,Hawks,Spartans"
"511,29,Tyrants,Flames"
"380,30,Shadow,Bulls"
"381,30,Demolition,Rhinos"
"382,30,Sharks,Dodgers"
"383,30,Flames,Elite"
"384,30,Comets,Pirates"
"385,30,Wizards,Outlaws"
"386,30,Spectre,Bears"
"387,30,Express,Hawks"
"388,30,Knights,Aviators"
"389,30,Spartans,Ducks"
"390,30,Foxes,Hurricanes"
"391,30,Puffins,Lightning"
"392,30,Sabres,Blizzard"
"474,30,Hive,Hawks"
"475,30,Pirates,Wizards"
"476,30,Rhinos,Tyrants"
"506,30,Express,Hurricanes"
"512,30,Knights,Bulls"
"513,30,Pandas,Tyrants"
"514,30,Jets,Hive"
"515,30,Wolves,Eclipse"
"393,31,Lightning,Sabres"
"394,31,Outlaws,Comets"
"395,31,Tyrants,Shadow"
"397,31,Hurricanes,Puffins"
"398,31,Elite,Pandas"
"399,31,Bulls,Sharks"
"400,31,Rhinos,Spectre"
"401,31,Blizzard,Wolves"
"402,31,Hive,Knights"
"403,31,Ducks,Express"
"404,31,Aviators,Spartans"
"405,31,Pirates,Demolition"
"406,31,Eclipse,Foxes"
"477,31,Tyrants,Hive"
"478,31,Express,Knights"
"479,31,Wizards,Rhinos"
"481,31,Pirates,Bulls"
"482,31,Hawks,Hurricanes"
"516,31,Dodgers,Flames"
"517,31,Bears,Wizards"
"518,31,Hawks,Jets"
"396,32,Bears,Outlaws"
"408,32,Express,Jets"
"409,32,Foxes,Puffins"
"410,32,Sabres,Wolves"
"411,32,Blizzard,Eclipse"
"412,32,Knights,Spartans"
"413,32,Aviators,Ducks"
"414,32,Hawks,Hive"
"415,32,Flames,Pandas"
"416,32,Shadow,Sharks"
"417,32,Elite,Tyrants"
"418,32,Comets,Demolition"
"419,32,Spectre,Wizards"
"480,32,Knights,Hawks"
"483,32,Pirates,Express"
"484,32,Rhinos,Bulls"
"485,32,Tyrants,Wizards"
"519,32,Hurricanes,Lightning"
"520,32,Hurricanes,Hive"
"521,32,Bulls,Dodgers"
"522,32,Pirates,Rhinos"
"407,33,Demolition,Spectre"
"420,33,Outlaws,Pirates"
"421,33,Wizards,Comets"
"423,33,Tyrants,Bulls"
"424,33,Sharks,Flames"
"425,33,Wolves,Foxes"
"426,33,Hive,Aviators"
"427,33,Ducks,Hawks"
"428,33,Jets,Knights"
"429,33,Eclipse,Hurricanes"
"430,33,Puffins,Sabres"
"431,33,Lightning,Blizzard"
"432,33,Pandas,Shadow"
"433,33,Rhinos,Bears"
"486,33,Hawks,Express"
"487,33,Wizards,Hurricanes"
"488,33,Bulls,Tyrants"
"489,33,Rhinos,Pirates"
"523,33,Spartans,Express"
"524,33,Dodgers,Elite"
