"name,salary,sprocket_player_id,member_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Until"
"Panick,18.5,147,151,Premier League,FP,NA,NONE,0,Not Eligible"
"Driu,11.5,148,152,Academy League,FP,NA,NONE,0,Not Eligible"
"ThaDangThang,10.5,149,153,Academy League,FP,NA,NONE,0,Not Eligible"
"Dtr,18.5,150,154,Premier League,FP,NA,NONE,0,Not Eligible"
"DudTheBomb,13.0,151,155,Champion League,Lightning,NA,NONE,0,Not Eligible"
"Duggles,14.5,152,156,Champion League,FP,NA,NONE,0,Not Eligible"
"Dyfferential,12.5,153,157,Academy League,FP,NA,NONE,0,Not Eligible"
"Eclair,10.0,154,158,Foundation League,FP,NA,NONE,0,Not Eligible"
"El Diablo Rojo,16.0,155,159,Master League,FP,NA,NONE,0,Not Eligible"
"ElCuchinero Cuh,13.0,156,160,Champion League,Puffins,NA,PLAYERD,15,Not Eligible"
"Elcycle,12.5,157,161,Academy League,FP,NA,NONE,0,Not Eligible"
"Endless,14.5,158,162,Champion League,FP,NA,NONE,0,Not Eligible"
"Erayne,16.0,159,163,Master League,FP,NA,NONE,0,Not Eligible"
"euronate,14.0,160,164,Champion League,FP,NA,NONE,0,Not Eligible"
"Ezra,16.5,161,165,Master League,FP,NA,NONE,0,Not Eligible"
"f1llyy,11.0,162,166,Academy League,FP,NA,NONE,0,Not Eligible"
"Faker,10.5,163,167,Academy League,FP,NA,NONE,0,Not Eligible"
"Faraxle,13.0,164,168,Champion League,FP,NA,NONE,0,Not Eligible"
"fasterthanfalcon,13.0,165,169,Champion League,FP,NA,NONE,0,Not Eligible"
"Faux Paw,11.5,166,170,Academy League,FP,NA,NONE,0,Not Eligible"
"Finicko,14.0,167,171,Champion League,FP,NA,NONE,0,Not Eligible"
"cozyboy,14.0,168,172,Champion League,Elite,NA,PLAYERC,0,Not Eligible"
"Flippy,9.5,169,173,Foundation League,FP,NA,PLAYERE,0,Not Eligible"
"FlIassh,15.5,170,174,Master League,FP,NA,NONE,0,Not Eligible"
"FluffyEagle,14.0,171,175,Champion League,FP,NA,NONE,0,Not Eligible"
"FlyinHi,14.0,172,176,Champion League,FP,NA,NONE,0,Not Eligible"
"Frodoswaggins,10.0,173,177,Foundation League,FP,NA,NONE,0,Not Eligible"
"Frogman,10.5,174,178,Academy League,FP,NA,NONE,0,Not Eligible"
"Fo0f,11.0,175,179,Academy League,FP,NA,NONE,0,Not Eligible"
"furphy,14.0,176,180,Champion League,FP,NA,NONE,0,Not Eligible"
"Fuzh,18.0,177,181,Premier League,Hive,NA,PLAYERF,0,Not Eligible"
"Galaxy,16.0,178,182,Master League,Bulls,NA,PLAYERF,0,Not Eligible"
"FINEST_WHINE,12.5,179,183,Academy League,FP,NA,NONE,0,Not Eligible"
"Giant,14.5,180,184,Champion League,FP,NA,NONE,0,Not Eligible"
"Gidderrs,12.5,181,185,Academy League,FP,NA,NONE,0,Not Eligible"
"Giraffegirl7,12.5,182,186,Academy League,FP,NA,NONE,0,Not Eligible"
"GodraciR,16.5,183,187,Master League,FP,NA,NONE,0,Not Eligible"
"GoldenGomez,15.5,184,188,Master League,FP,NA,NONE,0,Not Eligible"
"Goldenightime,19.5,185,189,Premier League,FP,NA,NONE,0,Not Eligible"
"goldentornado17,18.5,186,190,Premier League,FP,NA,NONE,0,Not Eligible"
"gon955,14.0,187,191,Champion League,Spartans,NA,PLAYERB,0,Not Eligible"
"Goose,10.5,188,192,Academy League,FP,NA,NONE,0,Not Eligible"
"goyo,20.0,189,193,Premier League,FP,NA,NONE,0,Not Eligible"
"GreaTGoDZeuS,15.5,190,194,Master League,FP,NA,NONE,0,Not Eligible"
"Grez,13.5,191,195,Champion League,FP,NA,NONE,0,Not Eligible"
"Grizz1y,16.5,192,196,Master League,FP,NA,NONE,0,Not Eligible"
"Gualbertos,14.5,193,197,Champion League,FP,NA,NONE,0,Not Eligible"
"Gumbachi,20.0,194,198,Premier League,FP,NA,NONE,0,Not Eligible"
"Gu5,12.0,195,199,Academy League,FP,NA,NONE,0,Not Eligible"
"Haimgame,16.0,196,200,Master League,Shadow,Assistant General Manager,PLAYERB,0,Not Eligible"
"Hakoui,13.5,197,201,Champion League,FP,NA,NONE,0,Not Eligible"
"C2X,13.5,198,202,Champion League,Express,NA,PLAYERD,0,Not Eligible"
"PalmBreeze,14.0,199,203,Champion League,FP,NA,NONE,0,Not Eligible"
"Crtzthenoob,12.5,200,204,Academy League,FP,NA,NONE,0,Not Eligible"
"helly.,12.5,201,205,Academy League,FP,NA,NONE,0,Not Eligible"
"henrY,17.0,202,206,Premier League,FP,NA,NONE,0,Not Eligible"
"Hermod,15.5,203,207,Master League,Express,Franchise Manager,PLAYERA,0,Not Eligible"
"Thomas,11.5,204,208,Academy League,FP,NA,NONE,0,Not Eligible"
"HersheyRL,17.0,205,209,Premier League,FP,NA,NONE,0,Not Eligible"
"Hextasy,14.0,206,210,Champion League,FP,NA,NONE,0,Not Eligible"
"Anonymouse,17.0,207,211,Master League,FP,NA,NONE,0,Not Eligible"
"hiro,16.5,208,212,Master League,FP,NA,NONE,0,Not Eligible"
"HK_BadBoy,12.5,209,213,Academy League,Elite,NA,PLAYERC,0,Not Eligible"
"hobo1104,12.0,210,214,Academy League,Sharks,NA,PLAYERC,0,Not Eligible"
"hotsaucethepirate,14.5,211,215,Champion League,FP,NA,NONE,0,Not Eligible"
"Hunted,16.5,212,216,Master League,FP,NA,NONE,0,Not Eligible"
"Hydra,16.0,213,217,Master League,FP,NA,NONE,0,Not Eligible"
"Six,15.5,214,218,Master League,FP,NA,NONE,0,Not Eligible"
"Icy_Fatal,9.0,215,219,Foundation League,Sharks,NA,PLAYERC,5,Not Eligible"
"Icyymike,12.5,216,220,Academy League,FP,NA,NONE,0,Not Eligible"
"Iguane Fabuleux,17.0,217,221,Premier League,FP,NA,NONE,0,Not Eligible"
"Pie,16.0,218,222,Master League,Express,NA,PLAYERE,0,Not Eligible"
"ImBad,14.5,219,223,Champion League,FP,NA,NONE,0,Not Eligible"
"InanimateJ,20.0,220,224,Premier League,FP,NA,NONE,0,Not Eligible"
"Rossi,14.0,221,225,Champion League,FP,NA,NONE,0,Not Eligible"
"Odinn,16.0,222,226,Master League,FP,NA,PLAYERA,0,Not Eligible"
"Intra,17.0,223,227,Premier League,FP,NA,NONE,0,Not Eligible"
"InvaderZed,15.5,224,228,Master League,FP,NA,NONE,0,Not Eligible"
"iP JoKeR,16.0,225,229,Master League,FP,NA,NONE,0,Not Eligible"
"Bubblebuddy47,17.5,226,230,Master League,FP,NA,NONE,0,Not Eligible"
"iso,17.5,227,231,Master League,FP,NA,NONE,0,Not Eligible"
"itonydelatorre,14.5,228,232,Champion League,FP,NA,NONE,0,Not Eligible"
"ItsChangYang,8.5,229,233,Foundation League,FP,NA,NONE,0,Not Eligible"
"Jab,14.0,230,234,Champion League,FP,NA,NONE,0,Not Eligible"
"Jack Colt,17.0,231,235,Premier League,FP,NA,NONE,0,Not Eligible"
"Jacobious Prime,11.0,232,236,Academy League,FP,NA,NONE,0,Not Eligible"
"Jaegs,16.5,233,237,Master League,Hawks,Franchise Manager,NONE,0,Not Eligible"
"Bizzle,13.0,234,238,Champion League,FP,NA,NONE,0,Not Eligible"
"Jakester,15.5,235,239,Master League,FP,NA,NONE,0,Not Eligible"
"JakeUpTheLeft,15.5,236,240,Master League,FP,NA,NONE,0,Not Eligible"
"Jamesy,13.0,237,241,Champion League,Wizards,Franchise Manager,NONE,0,Not Eligible"
"Jango,16.0,238,242,Master League,FP,NA,PLAYERE,0,Not Eligible"
"jansen24,12.5,239,243,Academy League,FP,NA,NONE,0,Not Eligible"
"JaxTrade,13.5,240,244,Champion League,FP,NA,NONE,0,Not Eligible"
"Jay,14.5,241,245,Champion League,FP,NA,NONE,0,Not Eligible"
"jaybeeveee,9.0,242,246,Foundation League,FP,NA,NONE,0,Not Eligible"
"Jdubbz?,18.0,243,247,Premier League,Knights,Captain,PLAYERB,0,Not Eligible"
"Jeli,10.5,244,248,Academy League,Sabres,NA,PLAYERE,0,Not Eligible"
"Jes.Ta,14.0,245,249,Champion League,FP,NA,NONE,0,Not Eligible"
"jgabbert13,12.0,246,250,Academy League,FP,NA,NONE,0,Not Eligible"
"jigsaw,13.0,247,251,Champion League,FP,NA,NONE,0,Not Eligible"
"Jimmer,16.5,248,252,Master League,FP,NA,NONE,0,Not Eligible"
"Jive,11.0,249,253,Academy League,FP,NA,NONE,0,Not Eligible"
"JKfoshizzle,18.0,250,254,Premier League,FP,NA,NONE,0,Not Eligible"
"JKmadness,18.5,251,255,Premier League,FP,NA,NONE,0,Not Eligible"
"Joey,13.5,252,256,Champion League,FP,NA,NONE,0,Not Eligible"
"Jordak,11.0,253,257,Academy League,FP,NA,NONE,0,Not Eligible"
"Juice,9.5,254,258,Foundation League,FP,NA,NONE,0,Not Eligible"
"shaggy,9.5,255,259,Foundation League,FP,NA,NONE,0,Not Eligible"
"LRK,16.5,256,260,Master League,FP,NA,NONE,0,Not Eligible"
"JustGary,12.5,257,261,Academy League,FP,NA,NONE,0,Not Eligible"
"JustStopBrah,13.5,258,262,Champion League,FP,NA,NONE,0,Not Eligible"
"Pookiebear,18.5,259,263,Premier League,FP,NA,NONE,0,Not Eligible"
"K3v,11.5,260,264,Academy League,FP,NA,NONE,0,Not Eligible"
"Kaeso Clarus,16.0,261,265,Master League,FP,NA,NONE,0,Not Eligible"
"Kaito,16.5,262,266,Master League,FP,NA,NONE,0,Not Eligible"
"kakutani,11.0,263,267,Academy League,FP,NA,NONE,0,Not Eligible"
"Kalum,12.5,264,268,Academy League,FP,NA,NONE,0,Not Eligible"
"karm.,12.5,265,269,Academy League,FP,NA,NONE,0,Not Eligible"
"KamuiKellz,10.5,266,270,Academy League,FP,NA,NONE,0,Not Eligible"
"kccolts81,19.5,267,271,Premier League,FP,NA,NONE,0,Not Eligible"
"kcscrag,13.5,268,272,Champion League,FP,NA,NONE,0,Not Eligible"
"KD,13.0,269,273,Champion League,FP,NA,NONE,0,Not Eligible"
"Keiko,14.5,270,274,Champion League,FP,NA,NONE,0,Not Eligible"
"Keltini,19.5,271,275,Premier League,FP,NA,NONE,0,Not Eligible"
"kenbennedy,10.0,272,276,Foundation League,FP,NA,NONE,0,Not Eligible"
"Kend0.,10.5,273,277,Academy League,Shadow,Captain,PLAYERA,0,Not Eligible"
"Ken,10.5,274,278,Academy League,FP,NA,NONE,0,Not Eligible"
"Khacs,10.5,275,279,Academy League,FP,NA,NONE,0,Not Eligible"
"Chopkins,10.5,276,280,Academy League,FP,NA,NONE,0,Not Eligible"
"Kiimmmiiii,13.0,277,281,Champion League,FP,NA,NONE,0,Not Eligible"
"KillerBaird,12.5,278,282,Academy League,Pend,NA,NONE,0,Not Eligible"
"KILT,17.5,279,283,Master League,FP,NA,NONE,0,Not Eligible"
"KingAdurite,10.5,280,284,Academy League,FP,NA,NONE,0,Not Eligible"
"KingHaast,13.0,281,285,Champion League,Waivers,NA,NONE,0,Not Eligible"
"kip,18.0,282,286,Premier League,FP,NA,NONE,0,Not Eligible"
"KittenDuck,19.0,283,287,Premier League,FP,NA,NONE,0,Not Eligible"
"inky,12.0,284,288,Academy League,FP,NA,PLAYERB,0,Not Eligible"
"Klismo,12.5,285,289,Academy League,FP,NA,NONE,0,Not Eligible"
"Knight Doc Wolfe,12.0,286,290,Academy League,Aviators,NA,PLAYERC,0,Not Eligible"
"Koalemos,15.5,287,291,Master League,FP,NA,NONE,0,Not Eligible"
"Kordova,16.0,288,292,Master League,FP,NA,NONE,0,Not Eligible"
"Korluss,16.5,289,293,Master League,FP,NA,NONE,0,Not Eligible"
"Kou,16.0,290,294,Master League,FP,NA,NONE,0,Not Eligible"
"Kowalski,13.5,291,295,Champion League,FP,NA,NONE,0,Not Eligible"
"Kracerlink,15.5,292,296,Master League,FP,NA,NONE,0,Not Eligible"
"Krihg,10.5,293,297,Academy League,FP,NA,NONE,0,Not Eligible"
"Krops,15.5,294,298,Master League,FP,NA,NONE,0,Not Eligible"
"kro.,11.5,295,299,Academy League,Jets,NA,PLAYERD,0,Not Eligible"
"Kunics,15.5,296,300,Master League,FP,NA,NONE,0,Not Eligible"
"Wind,12.5,297,301,Academy League,FP,NA,NONE,0,Not Eligible"
"Laff,18.0,298,303,Premier League,FP,NA,NONE,0,Not Eligible"
"Lakota,14.0,299,304,Champion League,FP,NA,NONE,0,Not Eligible"
"Justn.,15.5,300,305,Master League,FP,NA,NONE,0,Not Eligible"
"Larry The Lizard,13.0,301,306,Champion League,FP,NA,NONE,0,Not Eligible"
"Lars Newt,14.0,302,307,Champion League,FP,NA,NONE,0,Not Eligible"
"Legend,17.0,303,308,Master League,FP,NA,NONE,0,Not Eligible"
"Legit,12.0,304,309,Academy League,FP,NA,NONE,0,Not Eligible"
"Letsgobluh,19.0,305,310,Premier League,FP,NA,NONE,0,Not Eligible"
"Lettuce,16.0,306,311,Master League,FP,NA,PLAYERB,0,Not Eligible"
"Lightning,19.0,307,312,Premier League,FP,NA,NONE,0,Not Eligible"
"LightningHawk505,12.5,308,313,Academy League,FP,NA,NONE,0,Not Eligible"
"Lil Q,15.5,309,314,Master League,FP,NA,NONE,0,Not Eligible"
"LilRock,14.0,310,315,Champion League,Spartans,General Manager,PLAYERA,0,Not Eligible"
"Lodsain,10.5,311,316,Academy League,FP,NA,NONE,0,Not Eligible"
"LoganB,15.5,312,317,Master League,FP,NA,NONE,0,Not Eligible"
"Lonewolf,16.5,313,318,Master League,Ducks,NA,PLAYERC,0,Not Eligible"
"LongJohnCandy,13.5,314,319,Champion League,FP,NA,NONE,0,Not Eligible"
"Lordmarkram,9.5,315,320,Foundation League,FP,NA,NONE,0,Not Eligible"
"Panas,6.5,316,321,Foundation League,FP,NA,NONE,0,Not Eligible"
"Lotty Lettuce,20.0,317,322,Premier League,FP,NA,NONE,0,Not Eligible"
"Bango,14.0,318,323,Champion League,FP,NA,NONE,0,Not Eligible"
"LowkeyArrubla,14.0,319,324,Champion League,FP,NA,NONE,0,Not Eligible"
"Luke,15.5,320,325,Master League,FP,NA,NONE,0,Not Eligible"
"Luke_,20.0,321,326,Premier League,Pend,NA,NONE,0,Not Eligible"
"Quickclaw,13.5,322,327,Champion League,FA,NA,NONE,0,Not Eligible"
"Lundo,16.5,323,328,Master League,FP,NA,NONE,0,Not Eligible"
"Lutvara,18.0,324,329,Premier League,FP,NA,NONE,0,Not Eligible"
"M0rg,19.0,325,330,Premier League,FP,NA,NONE,0,Not Eligible"
"Mr BigMackDaddy,10.0,326,331,Foundation League,FP,NA,NONE,0,Not Eligible"
"Maddog,13.5,327,332,Champion League,FP,NA,NONE,0,Not Eligible"
"Mage,15.5,328,333,Master League,Tyrants,NA,PLAYERB,0,Not Eligible"
"Magnus,12.0,329,334,Academy League,FP,NA,NONE,0,Not Eligible"
"Majik,18.0,330,335,Premier League,Pandas,Captain,PLAYERD,0,Not Eligible"
"Manatee,15.5,331,336,Master League,Hurricanes,NA,PLAYERF,0,Not Eligible"
"MapleSurrup,18.0,332,337,Premier League,FP,NA,NONE,0,Not Eligible"
"Crimson,16.0,333,338,Master League,Tyrants,NA,PLAYERC,15,Not Eligible"
"Mark,9.5,334,339,Foundation League,FP,NA,NONE,0,Not Eligible"
"Marquizner,11.5,335,340,Academy League,FP,NA,NONE,0,Not Eligible"
"Mattybananas,18.5,336,341,Premier League,FP,NA,NONE,0,Not Eligible"
"mawneer,10.0,337,342,Foundation League,FP,NA,NONE,0,Not Eligible"
"Maxx,9.0,338,343,Foundation League,FP,NA,NONE,0,Not Eligible"
"MbizzleBruh,5.0,339,344,Foundation League,FP,NA,NONE,0,Not Eligible"
"MCas86,13.0,340,345,Champion League,FP,NA,PLAYERC,0,Not Eligible"
